mcs_dl_1,mcs_ul_1,dl_kbps_1,ul_kbps_1,cpu_set_1,mcs_dl_2,mcs_ul_2,dl_kbps_2,ul_kbps_2,cpu_set_2,cpu_0,cpu_1,cpu_2,cpu_3,cpu_4,cpu_5,cpu_6,cpu_7,explode
2,0,1736,744,1,2,0,1000,1256,2,0.0,0.35,0.38,0.0,0.0,0.0,0.0,0.0,False
2,0,1992,1160,1,20,17,5544,11448,2,0.0,0.38,0.43,0.0,0.0,0.0,0.0,0.0,False
5,0,224,424,1,11,6,1032,1736,2,0.0,0.29,0.3,0.0,0.0,0.0,0.0,0.0,False
7,2,1320,1800,1,6,1,2600,968,2,0.0,0.35,0.34,0.0,0.0,0.0,0.0,0.0,False
15,9,5992,296,1,26,20,25456,19080,2,0.0,0.28,0.54,0.0,0.0,0.0,0.0,0.0,False
8,2,6968,208,1,15,12,8760,4392,2,0.0,0.3,0.37,0.0,0.0,0.0,0.0,0.0,False
20,17,7480,12576,1,4,0,2728,88,2,0.0,0.45,0.28,0.0,0.0,0.0,0.0,0.0,False
22,19,4136,9144,1,19,17,3624,10296,2,0.0,0.38,0.41,0.0,0.0,0.0,0.0,0.0,False
15,10,3752,6456,1,20,17,14688,1544,2,0.0,0.39,0.35,0.0,0.0,0.0,0.0,0.0,False
15,9,11832,3624,1,15,9,6456,4264,2,0.0,0.38,0.35,0.0,0.0,0.0,0.0,0.0,False
19,17,14688,5736,1,18,15,328,8504,2,0.0,0.4,0.38,0.0,0.0,0.0,0.0,0.0,False
3,0,872,568,1,13,8,10296,4776,2,0.0,0.32,0.39,0.0,0.0,0.0,0.0,0.0,False
15,12,552,2600,1,19,17,15840,9528,2,0.0,0.3,0.45,0.0,0.0,0.0,0.0,0.0,False
24,20,19080,1544,1,20,18,776,8504,2,0.0,0.35,0.35,0.0,0.0,0.0,0.0,0.0,False
26,20,14112,17568,1,15,12,13536,6456,2,0.0,0.5,0.44,0.0,0.0,0.0,0.0,0.0,False
18,14,12576,12216,1,18,15,12216,8504,2,0.0,0.47,0.42,0.0,0.0,0.0,0.0,0.0,False
13,8,1800,3368,1,19,17,16992,6712,2,0.0,0.32,0.42,0.0,0.0,0.0,0.0,0.0,False
4,0,3240,176,1,15,9,11064,6200,2,0.0,0.31,0.4,0.0,0.0,0.0,0.0,0.0,False
25,20,17568,13536,1,4,0,1800,1192,2,0.0,0.47,0.37,0.0,0.0,0.0,0.0,0.0,False
25,20,12216,4776,1,2,0,2088,208,2,0.0,0.37,0.31,0.0,0.0,0.0,0.0,0.0,False
18,14,14112,9912,1,18,15,7992,5992,2,0.0,0.46,0.38,0.0,0.0,0.0,0.0,0.0,False
22,19,3752,6200,1,22,19,22152,9912,2,0.0,0.33,0.46,0.0,0.0,0.0,0.0,0.0,False
4,0,120,424,1,15,9,8504,6456,2,0.0,0.3,0.39,0.0,0.0,0.0,0.0,0.0,False
20,18,9144,5160,1,18,14,15840,7992,2,0.0,0.37,0.43,0.0,0.0,0.0,0.0,0.0,False
4,0,208,1256,1,3,0,968,1288,2,0.0,0.36,0.37,0.0,0.0,0.0,0.0,0.0,False
5,0,3496,1320,1,18,14,4584,4968,2,0.0,0.38,0.34,0.0,0.0,0.0,0.0,0.0,False
19,17,8248,904,1,5,0,4008,1032,2,0.0,0.31,0.37,0.0,0.0,0.0,0.0,0.0,False
2,0,1672,1288,1,18,14,7736,6712,2,0.0,0.38,0.38,0.0,0.0,0.0,0.0,0.0,False
3,0,2472,328,1,13,7,1800,3752,2,0.0,0.32,0.34,0.0,0.0,0.0,0.0,0.0,False
4,0,1800,32,1,22,19,14112,17568,2,0.0,0.26,0.51,0.0,0.0,0.0,0.0,0.0,False
10,4,6712,120,1,19,17,12216,7992,2,0.0,0.29,0.42,0.0,0.0,0.0,0.0,0.0,False
20,18,14688,1928,1,3,0,1224,456,2,0.0,0.34,0.31,0.0,0.0,0.0,0.0,0.0,False
5,0,2344,152,1,13,8,7480,2984,2,0.0,0.29,0.34,0.0,0.0,0.0,0.0,0.0,False
20,17,7480,2152,1,5,0,3496,1064,2,0.0,0.33,0.37,0.0,0.0,0.0,0.0,0.0,False
22,19,22152,7224,1,19,17,6712,4968,2,0.0,0.41,0.35,0.0,0.0,0.0,0.0,0.0,False
22,19,4584,4008,1,15,9,7224,136,2,0.0,0.33,0.29,0.0,0.0,0.0,0.0,0.0,False
15,11,5544,6200,1,10,4,7736,3496,2,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,False
25,20,8504,18336,1,6,1,1864,1736,2,0.0,0.49,0.38,0.0,0.0,0.0,0.0,0.0,False
25,20,1128,16992,1,5,0,1224,1288,2,0.0,0.45,0.37,0.0,0.0,0.0,0.0,0.0,False
20,17,15840,14112,1,18,14,3624,488,2,0.0,0.54,0.28,0.0,0.0,0.0,0.0,0.0,False
