mcs_dl_1,mcs_ul_1,dl_kbps_1,ul_kbps_1,cpu_set_1,mcs_dl_2,mcs_ul_2,dl_kbps_2,ul_kbps_2,cpu_set_2,cpu_0,cpu_1,cpu_2,cpu_3,cpu_4,cpu_5,cpu_6,cpu_7,explode
26,20,21384,376,"1-3,5-7",25,20,5160,12216,"1-3,5-7",0.0,0.32,0.28,0.04,0.0,0.04,0.06,0.06,False
13,7,1608,3496,"1-3,5-7",15,11,9144,6712,"1-3,5-7",0.0,0.34,0.26,0.04,0.0,0.04,0.06,0.05,False
15,9,7736,1864,"1-3,5-7",10,4,5352,1928,"1-3,5-7",0.0,0.28,0.25,0.04,0.0,0.04,0.05,0.05,False
8,4,2088,2216,"1-3,5-7",26,20,3624,4392,"1-3,5-7",0.0,0.26,0.25,0.04,0.0,0.04,0.05,0.05,False
26,20,14112,19848,"1-3,5-7",25,20,16992,10680,"1-3,5-7",0.0,0.4,0.35,0.05,0.0,0.05,0.07,0.07,False
13,8,4968,536,"1-3,5-7",15,10,1992,6968,"1-3,5-7",0.0,0.29,0.23,0.04,0.0,0.04,0.05,0.05,False
18,15,14112,11064,"1-3,5-7",15,11,7480,144,"1-3,5-7",0.0,0.39,0.23,0.05,0.0,0.05,0.06,0.05,False
18,14,15840,12576,"1-3,5-7",8,4,2984,3112,"1-3,5-7",0.0,0.39,0.29,0.05,0.0,0.05,0.06,0.06,False
10,4,1096,3112,"1-3,5-7",6,1,4776,1256,"1-3,5-7",0.0,0.3,0.28,0.04,0.0,0.04,0.06,0.06,False
15,11,3496,5544,"1-3,5-7",3,0,1864,1288,"1-3,5-7",0.0,0.3,0.28,0.04,0.0,0.04,0.06,0.06,False
22,19,17568,1416,"1-3,5-7",15,10,5544,4392,"1-3,5-7",0.0,0.27,0.27,0.04,0.0,0.04,0.05,0.05,False
4,0,3240,1320,"1-3,5-7",8,2,3496,1800,"1-3,5-7",0.0,0.31,0.29,0.04,0.0,0.04,0.06,0.06,False
25,20,22152,7480,"1-3,5-7",24,20,8504,8248,"1-3,5-7",0.0,0.33,0.29,0.04,0.0,0.04,0.06,0.06,False
8,4,3496,2664,"1-3,5-7",19,17,2856,4008,"1-3,5-7",0.0,0.27,0.25,0.04,0.0,0.04,0.05,0.05,False
2,0,776,16,"1-3,5-7",8,4,1928,1864,"1-3,5-7",0.0,0.26,0.19,0.04,0.0,0.04,0.04,0.04,False
8,4,2216,904,"1-3,5-7",6,1,3368,1480,"1-3,5-7",0.0,0.29,0.24,0.04,0.0,0.04,0.05,0.05,False
15,9,256,3368,"1-3,5-7",7,2,1672,2088,"1-3,5-7",0.0,0.29,0.24,0.04,0.0,0.04,0.05,0.05,False
