mcs_dl_1,mcs_ul_1,dl_kbps_1,ul_kbps_1,cpu_set_1,cpu_0,cpu_1,cpu_2,cpu_3,cpu_4,cpu_5,cpu_6,cpu_7,explode
24,20,13536,16992,"1-3,5-7",0.0,0.37,0.05,0.05,0.0,0.02,0.0,0.0,False
8,4,5352,3240,"1-3,5-7",0.0,0.3,0.04,0.04,0.0,0.02,0.0,0.0,False
7,2,5352,1864,"1-3,5-7",0.0,0.28,0.04,0.04,0.0,0.02,0.0,0.0,False
8,4,968,2664,"1-3,5-7",0.0,0.25,0.03,0.03,0.0,0.02,0.0,0.0,False
15,10,12960,3368,"1-3,5-7",0.0,0.28,0.04,0.04,0.0,0.02,0.0,0.0,False
15,9,3752,2856,"1-3,5-7",0.0,0.23,0.03,0.03,0.0,0.02,0.0,0.0,False
8,4,1096,488,"1-3,5-7",0.0,0.2,0.03,0.03,0.0,0.01,0.0,0.0,False
18,15,1928,8504,"1-3,5-7",0.0,0.28,0.04,0.04,0.0,0.02,0.0,0.0,False
5,0,872,1096,"1-3,5-7",0.0,0.25,0.03,0.03,0.0,0.02,0.0,0.0,False
15,10,10680,5992,"1-3,5-7",0.0,0.32,0.04,0.04,0.0,0.02,0.0,0.0,False
15,9,5544,1544,"1-3,5-7",0.0,0.22,0.03,0.03,0.0,0.01,0.0,0.0,False
20,18,7480,328,"1-3,5-7",0.0,0.22,0.03,0.03,0.0,0.01,0.0,0.0,False
18,15,7224,3112,"1-3,5-7",0.0,0.25,0.03,0.03,0.0,0.02,0.0,0.0,False
7,2,6200,1544,"1-3,5-7",0.0,0.28,0.04,0.04,0.0,0.02,0.0,0.0,False
22,19,22920,17568,"1-3,5-7",0.0,0.41,0.05,0.05,0.0,0.03,0.0,0.0,False
8,2,1928,968,"1-3,5-7",0.0,0.25,0.03,0.03,0.0,0.02,0.0,0.0,False
19,17,1416,4008,"1-3,5-7",0.0,0.23,0.03,0.03,0.0,0.02,0.0,0.0,False
19,17,16992,8248,"1-3,5-7",0.0,0.32,0.04,0.04,0.0,0.02,0.0,0.0,False
15,10,11832,3752,"1-3,5-7",0.0,0.28,0.04,0.04,0.0,0.02,0.0,0.0,False
26,20,25456,776,"1-3,5-7",0.0,0.27,0.04,0.04,0.0,0.02,0.0,0.0,False
4,0,1128,840,"1-3,5-7",0.0,0.25,0.03,0.03,0.0,0.02,0.0,0.0,False
18,14,7736,5992,"1-3,5-7",0.0,0.28,0.04,0.04,0.0,0.02,0.0,0.0,False
18,14,11064,12576,"1-3,5-7",0.0,0.34,0.05,0.05,0.0,0.02,0.0,0.0,False
13,8,11448,4392,"1-3,5-7",0.0,0.3,0.04,0.04,0.0,0.02,0.0,0.0,False
10,4,3624,3240,"1-3,5-7",0.0,0.28,0.04,0.04,0.0,0.02,0.0,0.0,False
15,12,5992,3880,"1-3,5-7",0.0,0.26,0.04,0.04,0.0,0.02,0.0,0.0,False
5,0,1928,32,"1-3,5-7",0.0,0.19,0.03,0.03,0.0,0.01,0.0,0.0,False
26,20,1800,376,"1-3,5-7",0.0,0.21,0.03,0.03,0.0,0.01,0.0,0.0,False
4,0,1000,600,"1-3,5-7",0.0,0.24,0.03,0.03,0.0,0.02,0.0,0.0,False
2,0,72,1160,"1-3,5-7",0.0,0.26,0.04,0.04,0.0,0.02,0.0,0.0,False
10,4,5160,904,"1-3,5-7",0.0,0.24,0.03,0.03,0.0,0.02,0.0,0.0,False
8,4,5544,904,"1-3,5-7",0.0,0.26,0.03,0.03,0.0,0.02,0.0,0.0,False
18,14,12576,12216,"1-3,5-7",0.0,0.36,0.05,0.05,0.0,0.02,0.0,0.0,False
15,12,9912,2792,"1-3,5-7",0.0,0.25,0.03,0.03,0.0,0.02,0.0,0.0,False
4,0,256,456,"1-3,5-7",0.0,0.22,0.03,0.03,0.0,0.02,0.0,0.0,False
7,2,5544,1544,"1-3,5-7",0.0,0.28,0.04,0.04,0.0,0.02,0.0,0.0,False
20,17,19080,11832,"1-3,5-7",0.0,0.38,0.05,0.05,0.0,0.03,0.0,0.0,False
